16	10	14	18	15	17	24	13	20	14	11	15	17	20	21	22	18	16	15	15	17	19	19	12	20	21	12	21	22	16	26	14	13	21	18	14	13	18	18	16	18	16	20	16	19	13	15	16	12	21	18	20	9	17	18	18	13	13	28	20	22	14	16	11	17	16	20	27	16	23	19	15	19	17	22	18	13	20	11	15	19	
14	15	14	10	17	22	25	18	19	21	13	20	15	14	22	17	27	27	17	12	15	14	19	15	10	21	14	16	23	18	22	12	25	17	19	19	11	15	20	20	17	22	22	19	19	19	15	17	21	20	20	12	17	23	18	12	14	19	16	23	15	15	20	10	15	10	20	20	13	21	16	13	26	19	15	8	13	18	27	18	20	
20	10	18	11	13	25	21	13	15	19	15	11	19	18	22	11	17	11	12	14	21	23	21	17	23	6	22	22	23	17	15	14	18	12	19	12	12	14	23	16	15	20	21	22	20	23	12	19	14	25	15	15	19	17	21	15	16	14	13	15	21	28	15	17	9	21	21	20	19	20	14	18	19	10	9	13	21	14	25	13	10	
19	20	27	20	17	23	10	16	18	15	18	12	18	18	15	14	11	14	17	10	24	16	20	10	13	18	20	16	15	18	22	18	21	17	12	27	19	16	26	20	9	18	15	19	16	23	17	26	21	23	15	16	12	16	7	17	15	18	16	19	18	21	18	13	13	17	20	16	21	24	17	17	21	22	16	11	15	21	8	13	14	
15	17	12	18	15	24	16	18	17	20	22	19	17	19	11	24	21	22	11	21	17	19	17	17	12	21	15	12	13	12	17	19	19	23	15	19	23	21	18	19	14	16	15	19	20	8	12	11	20	18	16	17	13	13	10	11	12	18	14	14	20	19	10	23	21	19	16	13	16	17	10	20	24	19	12	14	11	22	11	20	17	
12	24	13	16	17	20	16	15	16	16	14	17	9	12	21	17	21	19	24	15	21	17	15	18	25	18	19	12	17	18	15	21	13	17	22	12	27	19	17	21	14	18	19	14	14	15	14	21	26	31	21	16	22	17	21	13	15	29	20	20	19	14	11	16	9	14	9	13	13	15	20	20	14	21	21	19	16	21	18	15	22	
18	16	16	18	22	15	17	10	20	17	17	11	14	14	20	16	20	13	17	20	20	15	11	13	17	16	15	23	15	16	12	27	15	12	16	10	15	25	12	12	16	14	11	22	14	21	17	15	24	28	17	26	21	25	15	11	24	10	18	22	19	16	17	20	13	13	22	22	17	20	23	16	15	21	16	14	14	12	13	14	16	
16	16	15	19	21	20	25	22	18	17	20	21	22	17	11	21	15	20	23	13	15	27	20	11	16	16	15	16	12	12	24	21	15	26	16	15	13	10	22	18	18	18	12	25	24	9	13	12	21	25	15	19	16	21	22	24	22	15	20	18	17	18	23	23	20	24	16	19	22	14	13	19	18	22	19	26	13	15	15	12	28	
23	16	30	24	18	13	19	18	18	13	16	13	16	21	20	7	20	11	12	24	14	15	10	17	17	18	21	17	11	15	18	22	9	20	14	27	18	21	17	19	15	19	17	20	26	24	12	18	23	16	18	17	17	13	9	20	19	16	21	23	20	25	18	15	16	21	22	23	9	12	21	18	18	18	11	17	21	18	17	22	12	
15	21	18	17	13	15	17	17	21	20	14	18	20	18	21	18	15	14	15	22	19	19	11	16	16	13	19	15	21	17	19	17	17	13	16	17	13	26	14	11	22	24	20	17	14	16	16	7	19	11	19	12	22	14	10	11	20	18	18	25	21	23	14	19	14	19	20	19	19	22	12	16	21	15	14	17	22	13	18	21	18	
